index,Cattle_ID,Breed,Country,Climate_Zone,Management_System,Age_Months,Weight_kg,Parity,Lactation_Stage,Days_in_Milk,Feed_Type,Feed_Quantity_kg,Feeding_Frequency,Water_Intake_L,Walking_Distance_km,Grazing_Duration_hrs,Rumination_Time_hrs,Resting_Hours,Ambient_Temperature_C,Humidity_percent,Season,Housing_Score,FMD_Vaccine,Brucellosis_Vaccine,Previous_Week_Avg_Yield,Body_Condition_Score,Milking_Interval_hrs,Date,Farm_ID,Milk_Yield_L
40515,CATTLE_040516,Jersey,BR,Subtropical,Semi_Intensive,92,543.7,1,Late,120,Dry_Fodder,11.0,3,low,medium,2.6,4.9,5.4,17.9,92.4,Autumn,0.84,yes,no,6.76,ok,12,2024-10-21,FARM_0050,6.59
40533,CATTLE_040534,Girolando,BR,Subtropical,Intensive,142,519.3,4,Mid,31,Dry_Fodder,11.6,1,high,medium,1.0,7.8,11.8,33.7,87.3,Autumn,0.57,no,yes,8.22,ok,12,2022-06-25,FARM_0974,9.62
40555,CATTLE_040556,Jersey,BR,Subtropical,Semi_Intensive,35,487.9,6,Early,180,Concentrates,3.6,2,medium,medium,5.0,8.5,11.0,22.5,63.4,Winter,0.7,yes,yes,2.05,ok,12,2024-10-04,FARM_0870,5.22
40560,CATTLE_040561,Holandes,BR,Subtropical,Extensive,141,377.3,2,Mid,27,Mixed_Feed,7.7,5,low,high,5.9,6.3,9.9,15.7,51.3,Autumn,0.7,yes,no,20.49,ok,12,2022-03-27,FARM_0301,19.08
40594,CATTLE_040595,Girolando,BR,Tropical,Semi_Intensive,85,288.6,6,Late,16,Concentrates,9.6,5,high,medium,4.7,9.5,6.1,-5.3,69.9,Autumn,0.97,yes,yes,4.86,ok,12,2024-03-15,FARM_0231,4.16
40603,CATTLE_040604,Jersey,BR,Tropical,Mixed,111,394.7,1,Mid,196,Mixed_Feed,17.7,3,high,high,6.2,6.2,7.6,26.2,76.1,Monsoon,0.67,no,no,4.68,high,12,2024-05-06,FARM_0214,4.37
40612,CATTLE_040613,Jersey,BR,Subtropical,Extensive,39,566.6,3,Late,357,Dry_Fodder,16.3,4,high,high,8.9,9.5,9.6,23.9,53.9,Summer,0.39,no,no,3.19,ok,12,2023-02-01,FARM_0796,3.26
40627,CATTLE_040628,Jersey,BR,Arid,Mixed,82,655.2,6,Mid,168,Mixed_Feed,17.9,2,high,high,5.4,10.4,12.3,12.6,55.6,Summer,0.72,no,yes,26.4,ok,12,2023-10-18,FARM_0910,25.67
40640,CATTLE_040641,Jersey,BR,Arid,Extensive,24,727.5,2,Early,219,Concentrates,10.5,2,medium,low,5.1,4.7,10.7,18.5,75.7,Autumn,0.93,yes,no,13.5,low,12,2022-11-29,FARM_0140,11.58
40642,CATTLE_040643,Jersey,BR,Subtropical,Mixed,113,558.6,6,Late,141,Green_Fodder,9.3,5,low,medium,4.5,11.1,11.3,36.4,89.4,Monsoon,0.41,yes,yes,4.77,low,12,2024-06-22,FARM_0527,4.19
40658,CATTLE_040659,Holandes,BR,Arid,Semi_Intensive,77,566.7,4,Mid,220,Pasture_Grass,9.8,3,medium,high,1.8,10.5,15.6,8.4,87.2,Autumn,0.87,yes,yes,0.0,high,12,2023-01-27,FARM_0449,0.0
40661,CATTLE_040662,Holandes,BR,Arid,Extensive,91,565.7,6,Early,300,Silage,12.6,5,medium,medium,7.9,9.5,15.4,30.6,81.1,Winter,0.5,yes,yes,5.66,high,24,2024-03-16,FARM_0024,4.31
40673,CATTLE_040674,Holandes,BR,Subtropical,Mixed,133,487.2,4,Late,47,Green_Fodder,22.3,1,medium,low,9.0,4.5,10.6,20.0,68.5,Autumn,0.39,yes,yes,5.89,ok,12,2023-12-12,FARM_0179,5.06
40704,CATTLE_040705,Holandes,BR,Temperado,Extensive,54,529.3,3,Mid,358,Crop_Residues,4.6,2,medium,high,5.5,7.3,9.5,9.9,100.0,Summer,0.79,yes,no,4.98,ok,12,2023-08-31,FARM_0003,6.16
40717,CATTLE_040718,Jersey,BR,Subtropical,Pastoral,115,676.1,5,Late,299,Concentrates,13.6,5,medium,high,3.3,7.9,6.4,34.0,17.3,Spring,0.98,yes,yes,7.12,ok,12,2024-07-29,FARM_0292,7.1
40718,CATTLE_040719,Holandes,BR,Tropical,Mixed,41,315.4,5,Early,92,Mixed_Feed,16.0,3,high,medium,6.6,8.5,10.8,16.2,71.6,Summer,0.95,yes,no,21.05,ok,8,2024-04-18,FARM_0706,20.96
40720,CATTLE_040721,Holandes,BR,Temperado,Pastoral,129,315.9,5,Early,84,Green_Fodder,10.2,5,high,high,1.0,6.7,12.3,9.5,37.1,Summer,0.35,yes,no,22.53,ok,8,2023-10-12,FARM_0155,21.87
40728,CATTLE_040729,Jersey,BR,Tropical,Intensive,123,683.6,3,Early,289,Hay,14.1,4,high,high,5.6,11.5,7.9,43.8,39.2,Monsoon,0.35,no,yes,7.75,ok,12,2022-12-29,FARM_0033,5.53
40730,CATTLE_040731,Jersey,BR,Temperado,Pastoral,117,659.4,1,Late,282,Hay,12.2,4,high,high,1.6,7.4,8.1,29.3,90.3,Summer,0.37,yes,yes,5.59,ok,8,2023-12-25,FARM_0380,3.68
40780,CATTLE_040781,Holandes,BR,Temperado,Pastoral,46,423.6,2,Early,81,Mixed_Feed,12.7,1,high,high,7.3,7.4,6.9,30.7,67.5,Monsoon,0.36,yes,yes,13.7,ok,24,2024-10-25,FARM_0719,11.18
40799,CATTLE_040800,Jersey,BR,Temperado,Semi_Intensive,131,745.6,6,Early,97,Dry_Fodder,11.1,2,medium,high,6.7,6.7,8.3,10.6,86.6,Autumn,0.78,no,yes,7.05,ok,12,2024-09-04,FARM_0519,6.68
40812,CATTLE_040813,Girolando,BR,Subtropical,Intensive,135,700.2,1,Late,270,Green_Fodder,10.1,2,high,medium,7.6,9.4,8.7,15.2,31.1,Summer,0.68,no,no,9.4,ok,8,2024-08-06,FARM_0716,9.33
40826,CATTLE_040827,Jersey,BR,Temperado,Intensive,59,507.3,5,Early,255,Pasture_Grass,14.4,5,medium,low,3.5,8.5,13.5,28.1,74.6,Summer,0.9,no,yes,4.44,ok,24,2023-02-03,FARM_0261,6.27
40829,CATTLE_040830,Jersey,BR,Arid,Semi_Intensive,64,350.4,6,Early,224,Dry_Fodder,15.8,1,medium,high,7.8,8.6,5.0,25.4,62.4,Autumn,0.7,no,no,7.23,low,12,2024-06-08,FARM_0460,7.32
40859,CATTLE_040860,Holandes,BR,Arid,Intensive,136,639.3,5,Early,303,Crop_Residues,11.4,3,medium,high,8.4,6.4,6.8,0.1,53.8,Autumn,0.6,yes,yes,5.45,high,12,2024-08-27,FARM_0117,6.06
40901,CATTLE_040902,Jersey,BR,Temperado,Mixed,61,282.6,5,Early,6,Silage,11.4,1,high,high,8.2,9.2,12.9,23.2,39.5,Autumn,0.6,no,yes,11.13,high,12,2024-04-23,FARM_0036,9.68
40903,CATTLE_040904,Jersey,BR,Arid,Mixed,29,581.4,2,Mid,154,Silage,7.3,5,high,high,6.8,7.9,12.3,6.7,75.1,Monsoon,0.87,no,no,1.57,high,8,2023-10-01,FARM_0149,2.34
40906,CATTLE_040907,Girolando,BR,Temperado,Extensive,67,401.0,1,Late,25,Green_Fodder,12.5,5,low,high,1.7,7.6,8.8,20.8,81.6,Winter,0.59,yes,yes,7.87,high,8,2022-09-30,FARM_0815,9.57
40909,CATTLE_040910,Jersey,BR,Arid,Extensive,104,351.8,3,Early,105,Concentrates,13.6,5,medium,low,7.4,8.0,13.0,20.7,72.3,Monsoon,0.96,no,yes,18.75,ok,24,2023-11-30,FARM_0510,18.71
40939,CATTLE_040940,Jersey,BR,Arid,Semi_Intensive,97,633.9,3,Early,342,Crop_Residues,16.3,3,medium,high,5.8,7.7,9.6,9.1,49.7,Autumn,0.82,yes,yes,18.09,ok,12,2024-11-18,FARM_0798,18.11
40952,CATTLE_040953,Girolando,BR,Temperado,Intensive,97,708.3,6,Early,174,Mixed_Feed,17.0,3,medium,high,11.8,8.3,9.1,18.8,57.0,Monsoon,0.9,yes,yes,0.0,high,12,2024-01-26,FARM_0642,0.0
40961,CATTLE_040962,Holandes,BR,Arid,Semi_Intensive,80,704.1,6,Mid,190,Pasture_Grass,8.3,4,medium,high,7.5,7.9,11.6,7.8,32.4,Winter,0.98,no,no,19.65,ok,24,2023-07-10,FARM_0215,18.61
40983,CATTLE_040984,Holandes,BR,Tropical,Semi_Intensive,121,400.7,4,Mid,161,Mixed_Feed,14.5,1,medium,high,6.6,9.1,10.8,24.3,49.9,Summer,0.37,yes,yes,0.16,high,8,2022-12-13,FARM_0817,1.39
40985,CATTLE_040986,Holandes,BR,Temperado,Extensive,76,551.3,5,Early,285,Mixed_Feed,10.4,1,medium,high,2.7,5.2,6.4,24.9,56.5,Monsoon,0.88,yes,yes,17.42,high,12,2023-09-27,FARM_0376,17.19
41001,CATTLE_041002,Girolando,BR,Subtropical,Semi_Intensive,58,633.9,5,Mid,287,Mixed_Feed,16.6,1,medium,medium,3.2,8.3,10.8,20.8,61.3,Autumn,0.72,yes,no,7.34,ok,12,2024-06-02,FARM_0241,6.86
41029,CATTLE_041030,Girolando,BR,Subtropical,Pastoral,44,423.2,3,Early,282,Green_Fodder,9.1,5,medium,high,3.9,5.9,11.8,0.5,74.6,Spring,0.92,yes,yes,5.51,low,12,2022-03-25,FARM_0604,6.5
41032,CATTLE_041033,Girolando,BR,Arid,Intensive,114,587.1,4,Early,135,Crop_Residues,15.8,1,high,medium,13.6,9.2,9.7,32.5,66.0,Autumn,0.64,yes,yes,11.57,ok,12,2023-03-23,FARM_0616,12.99
41040,CATTLE_041041,Jersey,BR,Arid,Pastoral,95,629.0,4,Late,126,Dry_Fodder,13.2,3,medium,medium,6.6,12.3,5.3,26.7,41.6,Summer,0.6,yes,yes,7.37,ok,24,2022-04-18,FARM_0216,6.58
41076,CATTLE_041077,Holandes,BR,Tropical,Mixed,29,568.0,6,Early,319,Hay,7.6,1,medium,medium,7.3,7.3,11.4,40.1,47.6,Winter,0.96,yes,no,3.95,ok,12,2024-09-06,FARM_0677,5.83
41093,CATTLE_041094,Girolando,BR,Temperado,Pastoral,95,347.8,5,Mid,155,Dry_Fodder,19.5,3,medium,high,6.6,8.6,8.2,25.0,54.0,Autumn,0.75,no,yes,8.58,ok,8,2023-08-18,FARM_0296,9.15
41124,CATTLE_041125,Holandes,BR,Subtropical,Mixed,35,448.7,2,Late,101,Silage,11.9,4,medium,high,6.8,10.2,9.1,28.4,81.5,Summer,0.49,yes,yes,2.15,ok,12,2024-12-01,FARM_0245,2.52
41128,CATTLE_041129,Holandes,BR,Subtropical,Semi_Intensive,77,354.1,6,Mid,248,Pasture_Grass,12.9,1,high,high,8.9,7.3,9.5,24.0,38.6,Winter,0.63,yes,yes,19.52,ok,12,2024-05-22,FARM_0575,18.23
41129,CATTLE_041130,Girolando,BR,Subtropical,Semi_Intensive,121,406.4,1,Mid,60,Dry_Fodder,13.7,2,medium,high,5.5,6.5,5.5,26.0,66.2,Summer,0.81,yes,yes,16.88,ok,12,2023-01-23,FARM_0596,16.02
41132,CATTLE_041133,Holandes,BR,Temperado,Extensive,53,463.5,5,Mid,348,Crop_Residues,13.9,2,high,medium,6.4,9.1,5.6,8.4,77.1,Autumn,0.72,yes,yes,8.73,ok,12,2023-12-21,FARM_0602,5.93
41140,CATTLE_041141,Jersey,BR,Arid,Extensive,115,627.7,3,Late,137,Concentrates,4.8,5,high,medium,4.4,6.8,10.4,15.6,75.1,Spring,0.32,no,no,4.46,ok,12,2022-07-10,FARM_0181,5.77
41165,CATTLE_041166,Holandes,BR,Arid,Mixed,83,643.5,2,Late,205,Mixed_Feed,15.4,4,high,high,12.5,7.9,9.5,22.8,25.3,Spring,0.35,yes,yes,6.45,high,24,2023-11-02,FARM_0383,7.19
41171,CATTLE_041172,Jersey,BR,Tropical,Pastoral,118,309.1,2,Late,272,Crop_Residues,7.6,5,high,high,9.9,7.1,9.6,-1.6,83.5,Summer,0.83,yes,no,2.03,high,12,2023-04-13,FARM_0458,0.0
41198,CATTLE_041199,Holandes,BR,Temperado,Pastoral,134,527.5,4,Late,290,Pasture_Grass,21.0,2,medium,medium,8.8,10.0,5.7,13.6,41.4,Spring,0.35,yes,yes,4.91,high,12,2023-05-15,FARM_0888,4.16
41208,CATTLE_041209,Holandes,BR,Temperado,Mixed,130,738.2,4,Late,335,Mixed_Feed,10.7,1,high,medium,1.7,7.8,9.7,25.4,52.4,Autumn,0.93,no,yes,6.83,ok,12,2024-11-29,FARM_0526,8.82
41218,CATTLE_041219,Girolando,BR,Arid,Semi_Intensive,108,539.5,6,Early,193,Concentrates,20.3,1,medium,high,3.7,8.9,11.9,24.9,76.7,Spring,0.66,yes,yes,3.9,ok,12,2023-10-30,FARM_0018,2.26
41227,CATTLE_041228,Holandes,BR,Temperado,Semi_Intensive,51,349.4,6,Late,121,Pasture_Grass,12.7,1,low,high,7.5,6.8,9.3,16.6,70.1,Spring,0.53,yes,yes,18.78,ok,12,2023-06-26,FARM_0421,18.93
41241,CATTLE_041242,Girolando,BR,Subtropical,Intensive,62,689.3,1,Late,123,Dry_Fodder,12.4,5,medium,low,9.0,8.1,6.4,27.1,59.8,Autumn,0.6,yes,yes,11.62,high,8,2022-12-10,FARM_0782,11.95
41248,CATTLE_041249,Girolando,BR,Tropical,Pastoral,141,440.9,3,Late,81,Concentrates,3.4,5,high,high,2.4,10.2,11.0,41.7,52.2,Spring,0.6,yes,no,5.85,high,12,2024-07-11,FARM_0403,5.07
41289,CATTLE_041290,Girolando,BR,Arid,Intensive,134,323.6,1,Late,301,Pasture_Grass,9.5,2,high,high,8.4,7.9,7.3,26.1,87.2,Winter,0.68,no,no,3.59,high,12,2024-03-18,FARM_0685,5.46
41300,CATTLE_041301,Girolando,BR,Tropical,Intensive,116,465.7,3,Late,70,Hay,16.1,1,high,high,10.5,9.5,13.0,30.0,86.4,Monsoon,0.38,yes,no,10.13,ok,12,2023-02-05,FARM_0154,10.98
41309,CATTLE_041310,Girolando,BR,Arid,Intensive,67,416.0,1,Mid,150,Silage,13.1,2,high,high,13.1,8.2,14.6,24.4,16.6,Summer,0.63,yes,yes,14.78,ok,12,2023-05-06,FARM_0514,14.42
41311,CATTLE_041312,Holandes,BR,Temperado,Pastoral,119,521.7,2,Mid,67,Mixed_Feed,14.2,1,high,high,5.2,4.0,12.0,14.0,76.9,Summer,0.42,yes,no,9.82,ok,12,2023-06-05,FARM_0608,7.56
41317,CATTLE_041318,Jersey,BR,Temperado,Mixed,41,367.5,3,Mid,153,Hay,18.6,1,high,high,8.8,9.3,10.2,23.2,63.8,Spring,0.48,no,no,23.45,ok,8,2022-09-17,FARM_0606,21.42
41322,CATTLE_041323,Jersey,BR,Tropical,Extensive,25,488.4,3,Late,21,Mixed_Feed,11.0,1,medium,low,8.1,10.2,10.9,29.6,51.7,Monsoon,0.59,yes,yes,0.0,ok,12,2022-04-03,FARM_0813,0.28
41333,CATTLE_041334,Holandes,BR,Temperado,Pastoral,110,341.8,4,Late,301,Crop_Residues,10.4,1,high,medium,1.0,6.1,5.0,14.2,61.5,Autumn,0.84,yes,no,8.18,high,12,2023-01-26,FARM_0294,6.54
41339,CATTLE_041340,Jersey,BR,Tropical,Mixed,120,411.0,4,Late,224,Green_Fodder,4.8,5,high,high,8.5,8.8,10.3,33.5,59.8,Autumn,0.46,yes,yes,3.5,ok,24,2022-08-24,FARM_0219,4.5
41352,CATTLE_041353,Jersey,BR,Temperado,Mixed,121,485.4,3,Late,113,Crop_Residues,11.9,2,medium,high,4.7,5.6,12.5,26.8,87.8,Summer,0.78,yes,no,15.36,ok,12,2022-10-16,FARM_0030,17.21
41354,CATTLE_041355,Jersey,BR,Subtropical,Pastoral,37,723.1,4,Early,5,Pasture_Grass,21.2,2,high,high,6.5,6.3,15.0,22.8,47.1,Spring,0.51,yes,yes,4.68,ok,12,2023-08-03,FARM_0692,3.84
41376,CATTLE_041377,Girolando,BR,Arid,Intensive,128,340.4,5,Late,23,Crop_Residues,6.5,2,medium,high,8.2,7.5,5.0,31.8,100.0,Winter,0.39,yes,no,6.46,ok,12,2022-09-04,FARM_0768,4.77
41385,CATTLE_041386,Holandes,BR,Temperado,Pastoral,54,623.3,4,Late,171,Hay,10.8,5,high,high,7.4,6.9,7.9,24.7,35.2,Summer,0.71,yes,yes,12.06,ok,12,2024-03-13,FARM_0052,9.1
41389,CATTLE_041390,Jersey,BR,Arid,Intensive,70,319.8,1,Mid,60,Mixed_Feed,12.1,5,high,low,6.9,11.4,12.1,11.8,55.7,Winter,0.88,yes,yes,13.72,ok,12,2023-06-27,FARM_0242,10.83
41405,CATTLE_041406,Holandes,BR,Temperado,Extensive,114,454.1,4,Early,234,Hay,12.9,5,high,medium,2.6,4.7,10.2,33.0,51.9,Autumn,0.34,yes,no,9.46,ok,12,2024-08-12,FARM_0877,8.61
41406,CATTLE_041407,Holandes,BR,Temperado,Pastoral,106,479.0,6,Mid,157,Hay,11.7,4,medium,high,5.2,5.3,9.9,36.9,61.2,Autumn,0.97,yes,yes,15.66,high,12,2024-08-28,FARM_0407,14.54
41441,CATTLE_041442,Holandes,BR,Tropical,Pastoral,141,691.8,3,Late,15,Silage,12.3,1,high,medium,1.5,13.9,10.9,20.8,40.3,Spring,0.83,no,no,12.87,ok,12,2024-06-04,FARM_0594,13.35
41482,CATTLE_041483,Holandes,BR,Arid,Mixed,43,310.5,5,Late,103,Hay,10.5,5,medium,high,4.6,8.4,9.0,1.7,52.5,Winter,0.79,no,no,14.05,ok,12,2023-04-08,FARM_0522,15.41
41487,CATTLE_041488,Holandes,BR,Subtropical,Intensive,43,295.8,1,Late,251,Dry_Fodder,13.1,3,medium,high,2.3,7.8,10.9,29.5,37.1,Autumn,0.49,no,no,12.68,low,12,2022-10-24,FARM_0398,12.84
41502,CATTLE_041503,Holandes,BR,Arid,Intensive,112,354.0,2,Late,257,Pasture_Grass,10.2,4,high,high,10.7,9.1,8.7,14.2,71.8,Summer,0.83,no,yes,3.52,high,12,2022-06-06,FARM_0065,4.99
41516,CATTLE_041517,Jersey,BR,Tropical,Semi_Intensive,30,570.1,2,Early,188,Silage,8.1,5,low,high,3.0,4.5,12.9,27.8,78.1,Monsoon,0.5,yes,yes,12.76,ok,12,2024-06-05,FARM_0754,13.29
41524,CATTLE_041525,Holandes,BR,Arid,Mixed,73,299.7,5,Late,271,Dry_Fodder,8.0,2,high,high,7.2,10.1,9.6,8.0,93.9,Summer,0.62,no,no,15.45,low,8,2023-02-09,FARM_0902,14.93
41568,CATTLE_041569,Jersey,BR,Tropical,Pastoral,102,611.4,5,Mid,257,Green_Fodder,6.9,3,high,high,9.0,7.0,14.5,41.0,71.6,Monsoon,0.68,yes,no,8.65,high,24,2024-05-30,FARM_0009,6.64
41588,CATTLE_041589,Holandes,BR,Tropical,Extensive,76,599.2,1,Mid,215,Concentrates,8.4,3,medium,medium,5.7,8.7,6.0,-0.6,50.0,Autumn,0.63,no,no,1.95,ok,24,2023-01-13,FARM_0898,1.52
41596,CATTLE_041597,Holandes,BR,Tropical,Semi_Intensive,49,697.0,4,Mid,58,Concentrates,16.0,5,high,medium,8.3,9.7,9.5,14.8,87.5,Winter,0.93,yes,yes,5.07,high,12,2023-01-01,FARM_0101,8.47
41597,CATTLE_041598,Girolando,BR,Tropical,Semi_Intensive,82,741.5,1,Late,41,Concentrates,7.1,3,high,low,10.2,7.2,10.6,22.7,82.0,Winter,0.73,yes,yes,0.0,low,8,2023-12-05,FARM_0988,0.17
41619,CATTLE_041620,Girolando,BR,Subtropical,Mixed,49,424.8,3,Mid,189,Hay,13.4,4,medium,high,8.6,4.0,12.9,29.9,72.6,Autumn,0.62,no,yes,19.93,high,12,2022-01-31,FARM_0340,18.41
41624,CATTLE_041625,Jersey,BR,Tropical,Intensive,117,460.3,6,Early,297,Silage,14.9,1,low,medium,2.9,4.0,9.6,22.5,57.6,Monsoon,0.81,yes,yes,6.01,ok,24,2024-11-29,FARM_0644,7.19
41658,CATTLE_041659,Holandes,BR,Subtropical,Extensive,66,489.3,6,Early,85,Concentrates,7.8,3,high,medium,1.0,7.4,11.6,24.1,76.2,Winter,0.69,yes,no,6.58,low,12,2022-10-18,FARM_0917,8.71
41668,CATTLE_041669,Jersey,BR,Temperado,Semi_Intensive,135,351.5,6,Mid,248,Silage,10.1,5,medium,medium,3.6,9.3,15.8,19.5,100.0,Monsoon,0.42,yes,yes,5.81,high,12,2022-11-29,FARM_0431,3.7
41681,CATTLE_041682,Girolando,BR,Tropical,Mixed,127,703.6,5,Early,9,Hay,14.0,4,medium,high,5.1,7.2,8.7,30.1,47.4,Monsoon,0.92,no,yes,15.73,low,12,2023-12-26,FARM_0886,15.56
41698,CATTLE_041699,Holandes,BR,Subtropical,Pastoral,87,467.6,2,Late,27,Pasture_Grass,17.1,3,medium,medium,5.3,8.7,6.0,20.0,51.4,Summer,0.91,no,no,6.54,high,12,2022-05-10,FARM_0371,6.1
41704,CATTLE_041705,Jersey,BR,Tropical,Semi_Intensive,66,702.8,2,Late,358,Hay,13.6,3,medium,low,6.6,9.0,10.3,15.0,60.0,Summer,0.74,yes,yes,13.43,ok,12,2023-08-22,FARM_0200,12.04
41705,CATTLE_041706,Holandes,BR,Subtropical,Extensive,96,494.4,4,Mid,291,Green_Fodder,16.3,5,high,medium,6.3,6.7,8.9,16.2,61.8,Monsoon,0.85,yes,no,3.83,ok,8,2024-04-04,FARM_0555,2.24
41710,CATTLE_041711,Holandes,BR,Subtropical,Intensive,131,723.2,1,Mid,34,Silage,13.9,4,medium,medium,9.8,4.9,16.0,23.9,63.4,Monsoon,0.85,no,yes,18.39,high,8,2024-10-04,FARM_0100,19.58
41715,CATTLE_041716,Holandes,BR,Arid,Mixed,118,287.3,1,Mid,235,Mixed_Feed,13.7,2,medium,high,7.4,8.5,9.8,26.3,28.2,Spring,0.64,yes,yes,20.95,ok,24,2023-04-21,FARM_0573,18.86
41720,CATTLE_041721,Jersey,BR,Temperado,Pastoral,104,263.2,2,Mid,188,Mixed_Feed,11.8,3,medium,high,4.6,10.0,9.8,20.5,60.9,Monsoon,0.67,yes,no,5.59,high,12,2023-09-01,FARM_0119,6.96
41748,CATTLE_041749,Jersey,BR,Tropical,Semi_Intensive,99,427.4,4,Mid,97,Hay,10.1,4,low,medium,9.1,4.0,11.0,19.3,57.8,Spring,0.84,yes,no,8.47,high,12,2024-02-28,FARM_0095,9.77
41766,CATTLE_041767,Holandes,BR,Arid,Pastoral,32,369.2,5,Early,9,Concentrates,6.7,2,low,low,8.7,6.8,15.4,10.6,100.0,Spring,0.42,no,yes,0.0,high,12,2022-02-25,FARM_0231,3.5
41769,CATTLE_041770,Holandes,BR,Arid,Pastoral,41,277.3,6,Mid,233,Mixed_Feed,7.4,1,medium,medium,9.4,7.6,11.2,10.2,85.2,Summer,0.4,yes,no,10.1,ok,12,2023-03-05,FARM_0112,9.63
41791,CATTLE_041792,Holandes,BR,Arid,Pastoral,110,660.7,3,Late,317,Silage,12.8,3,medium,low,5.1,7.3,15.7,19.6,68.6,Monsoon,0.44,yes,yes,6.57,ok,12,2023-02-02,FARM_0847,7.47
41819,CATTLE_041820,Girolando,BR,Temperado,Extensive,60,562.6,2,Late,263,Hay,15.3,3,medium,high,10.4,8.3,6.0,9.9,38.1,Summer,0.89,no,yes,13.47,ok,8,2022-10-30,FARM_0151,13.25
41824,CATTLE_041825,Jersey,BR,Arid,Extensive,91,627.3,4,Late,170,Crop_Residues,13.7,2,medium,low,5.1,7.5,11.6,17.0,28.0,Monsoon,0.83,no,no,8.02,ok,24,2024-01-14,FARM_0667,6.14
41836,CATTLE_041837,Girolando,BR,Temperado,Pastoral,96,548.5,3,Early,72,Green_Fodder,7.7,2,high,high,1.1,7.0,14.6,27.9,35.2,Summer,0.4,no,no,16.92,ok,12,2023-06-30,FARM_0361,18.91
41862,CATTLE_041863,Jersey,BR,Subtropical,Mixed,66,441.9,1,Late,62,Concentrates,11.5,3,medium,high,2.4,4.6,13.2,19.4,48.7,Winter,0.86,no,yes,2.39,high,12,2023-03-21,FARM_0999,2.58
41895,CATTLE_041896,Jersey,BR,Subtropical,Intensive,52,579.0,6,Mid,77,Green_Fodder,17.2,2,medium,low,5.0,8.5,5.0,25.2,68.8,Spring,0.65,yes,yes,12.13,high,24,2023-12-12,FARM_0509,11.3
41915,CATTLE_041916,Girolando,BR,Temperado,Intensive,81,645.5,5,Mid,318,Dry_Fodder,9.7,4,high,medium,6.5,7.9,18.0,39.3,96.1,Monsoon,0.55,no,no,1.57,low,12,2022-03-15,FARM_0989,2.47
41918,CATTLE_041919,Holandes,BR,Arid,Semi_Intensive,77,505.6,2,Early,111,Pasture_Grass,17.7,5,high,high,2.8,6.5,15.2,27.4,75.6,Winter,0.84,yes,yes,18.45,high,12,2024-11-05,FARM_0603,18.32
41924,CATTLE_041925,Holandes,BR,Subtropical,Semi_Intensive,52,566.0,6,Early,284,Dry_Fodder,18.1,2,medium,high,2.5,7.3,6.1,11.8,100.0,Summer,0.98,yes,no,13.13,low,12,2022-09-08,FARM_0733,13.55
41938,CATTLE_041939,Holandes,BR,Tropical,Intensive,107,484.3,3,Mid,352,Hay,19.7,1,medium,medium,4.3,8.2,6.9,17.9,72.5,Winter,0.52,yes,yes,8.86,ok,12,2022-05-02,FARM_0340,11.96
41953,CATTLE_041954,Girolando,BR,Arid,Semi_Intensive,89,331.7,2,Mid,363,Hay,12.4,2,medium,low,6.4,6.1,7.4,22.6,60.2,Spring,0.54,yes,yes,0.0,ok,8,2023-03-20,FARM_0194,0.0
41965,CATTLE_041966,Jersey,BR,Subtropical,Extensive,40,536.9,6,Late,38,Silage,11.4,3,medium,medium,5.9,7.1,14.5,17.7,42.0,Autumn,0.49,no,no,5.63,ok,12,2022-08-23,FARM_0054,4.7
41975,CATTLE_041976,Girolando,BR,Subtropical,Intensive,122,608.3,2,Early,20,Dry_Fodder,7.0,4,medium,medium,6.7,6.5,11.7,30.6,46.1,Spring,0.49,yes,yes,8.81,high,12,2024-09-29,FARM_0826,12.95
41983,CATTLE_041984,Jersey,BR,Tropical,Pastoral,46,688.6,5,Early,173,Concentrates,11.6,5,medium,medium,6.7,10.7,16.4,9.7,90.2,Spring,0.97,no,no,24.17,low,12,2023-08-19,FARM_0825,23.2
41988,CATTLE_041989,Holandes,BR,Temperado,Intensive,69,413.4,1,Early,182,Dry_Fodder,9.5,4,medium,medium,1.0,9.2,13.6,26.9,81.4,Autumn,0.35,yes,yes,9.77,ok,6,2023-08-07,FARM_0247,8.21
41994,CATTLE_041995,Jersey,BR,Tropical,Mixed,103,497.4,2,Early,261,Silage,7.9,5,high,high,6.1,7.3,7.2,21.5,29.7,Monsoon,0.43,yes,yes,0.0,ok,12,2022-09-02,FARM_0079,0.74
41995,CATTLE_041996,Girolando,BR,Temperado,Extensive,97,468.4,2,Early,84,Pasture_Grass,19.3,5,high,high,4.0,6.7,7.6,11.9,51.8,Winter,0.46,no,no,16.97,ok,12,2024-12-03,FARM_0588,15.95
41998,CATTLE_041999,Holandes,BR,Subtropical,Mixed,41,697.1,6,Mid,210,Pasture_Grass,10.7,5,medium,medium,7.4,8.9,13.1,9.4,55.3,Spring,0.87,yes,yes,6.73,low,12,2023-09-23,FARM_0578,7.23
42008,CATTLE_042009,Jersey,BR,Temperado,Intensive,55,581.6,2,Mid,249,Concentrates,15.1,2,medium,high,5.0,8.6,5.9,25.1,56.7,Autumn,0.7,yes,no,1.31,high,12,2024-05-08,FARM_0626,3.88
